client_id,transactions_2010,transactions_2011,transactions_2012,transactions_2013,transactions_2014,transactions_2015,transactions_2016,transactions_2017,transactions_2018,transactions_2019,average_yearly_spend,yearly_income,income minus avg,# of zeros,Class,Classification
45,7759.69,8098.03,9397.5,7309.07,7212.74,8076.03,8272.43,7981.27,7726.41,8185.22,8001.839,63781,55779.16 ,0,Saver,0
46,45929.85,40609.57,47413.33,45080.1,45519.53,42953.79,47614.48,44625.51,45751.05,33555.04,43905.225,53996,10090.78 ,0,Saver,0
47,33709.89,31896.44,31732.9,32190.08,31720.75,31846.68,32566.79,33923.98,34024.74,28195.07,32180.732,25434,(6746.73),0,Overspender,1
48,24578.01,24869.69,26964.39,26506.58,26120.08,27683.24,27645.94,27758.28,27341.25,23028.51,26249.597,16542,(9707.60),0,Overspender,1
50,24002.48,25661.28,28006.44,26759.6,25095.94,28359.72,27874.78,25421.07,27499.38,20104.84,25878.553,39238,13359.45 ,0,Saver,0
51,3632.63,47139.64,43804.16,46042.61,42493.25,43074.09,40631.96,45966.54,45275.85,38375.62,39643.635,51303,11659.37 ,0,Saver,0
52,157995.43,158132.48,154186.83,156536.94,152295.81,150570.65,158055.14,162748.26,152678.74,131807.52,153500.78,63796,(89704.78),0,Overspender,1
53,67079.11,64504.63,67808.07,73903.93,73680.57,74826.17,84388.82,74843.89,73450.65,68587.54,72307.338,39700,(32607.34),0,Overspender,1
55,27550.19,30220.41,30317.39,32188.48,31518.02,30879.03,29514.13,30381.16,25925.85,25878.27,29437.293,44583,15145.71 ,0,Saver,0
57,3166.71,46888.89,49896.89,43477.26,49291.07,49651.17,52400.12,48277.31,50025.5,43833.24,43690.816,43826,135.18 ,0,Saver,0
59,35196.74,35153.36,34943.58,30029.02,33653.62,34253.95,30307.14,35531.05,34344.08,26567.8,32998.034,25066,(7932.03),0,Overspender,1
60,60617.69,60734.42,62405.9,64111.2,63533.94,61873.63,63470.3,61260.39,61568.05,52875.88,61245.14,34057,(27188.14),0,Overspender,1
61,73791.91,76875.86,77577.75,81922.44,72320.63,79067.6,76570.14,78120.51,77553.73,66126.96,75992.753,93406,17413.25 ,0,Saver,0
62,40381.24,39290.24,41362.95,39920.93,37807.62,39328.45,49067.49,37427.85,42630.46,33693.89,40091.112,22290,(17801.11),0,Overspender,1
63,35332.52,30805.12,31099.46,31941.47,37738.44,29776.44,30194.75,34786.66,34144.46,27261.17,32308.049,35418,3109.95 ,0,Saver,0
64,54691.08,51680.77,50474.54,53627.78,59437,59670.44,56665.01,57949.99,55797.05,51058.22,55105.188,51465,(3640.19),0,Overspender,1
65,30587.33,32696.78,34743.53,33060.65,33712.23,37630.22,30314.45,31134.8,36564.52,29720.79,33016.53,34517,1500.47 ,0,Saver,0
68,72587.18,70656.4,71751.75,69103.93,69331.5,66403.09,70607.99,67865.12,72963.7,59102.79,69037.345,41997,(27040.35),0,Overspender,1
69,22618.92,25537.36,26928.83,26722.69,25187.17,27998.58,26639.71,24398.69,26538.33,21741.88,25431.216,38318,12886.78 ,0,Saver,0
73,51686.18,52256.91,52050.84,49895.28,57595.8,49846.03,55489.25,54950.02,52896.11,44559.85,52122.627,53478,1355.37 ,0,Saver,0
75,40078.36,39008.87,42804.7,41299.21,44304.69,46552.98,42950.6,44238.65,40931.49,35612.67,41778.222,22326,(19452.22),0,Overspender,1
77,102256.43,101167.52,107149.32,98261.9,104098.41,102665.56,102166.55,107933.52,101433.8,82202.13,100933.514,51110,(49823.51),0,Overspender,1
79,32785.19,32798.28,30076.19,32268.35,28211.89,30874.01,33295.39,28464.71,28607.65,26441.46,30382.312,29164,(1218.31),0,Overspender,1
80,23023.29,23444.29,28885.47,24933.44,26577.24,22635.03,24186.1,23158.3,24240.78,17882.17,23896.611,21815,(2081.61),0,Overspender,1
81,56707.56,62752.38,60197.71,64697.79,58128.87,61302.78,63055.13,59908.13,60329,50974.49,59805.384,35560,(24245.38),0,Overspender,1
84,44185.1,42585.41,41943.77,42341.48,42930.09,45871.61,43727.57,43871.25,41724.75,34876.9,42405.793,25748,(16657.79),0,Overspender,1
87,36396.18,36888.59,33268.5,33769.92,35152.14,35850.78,40178.54,35605.55,36645.54,33347.27,35710.301,24155,(11555.30),0,Overspender,1
89,41982.38,45765.01,41522.44,37873.11,43454.17,40551.69,39287.41,42602.56,39270.98,33354.79,40566.454,30217,(10349.45),0,Overspender,1
90,63904.73,64100.84,64595,66447.09,67778.6,49248.7,40901.94,39902.46,40835.38,37878.83,53559.357,12796,(40763.36),0,Overspender,1
92,35970.68,36318.97,35134.8,34450.9,37699.71,33879.04,31948.17,33966.58,37582.09,32193.21,34914.415,31145,(3769.42),0,Overspender,1
94,45636.25,51017.82,49020.89,45766.19,50504.56,45536.4,45988.91,51344.17,47598.46,40740.43,47315.408,36760,(10555.41),0,Overspender,1
96,257315.09,257393.18,240486.12,247604.68,246247.8,258501.3,239870.18,251342.19,253091.62,193921.09,244577.325,99825,(144752.33),0,Overspender,1
98,74211.7,69179.33,72391.62,82950.96,76999.28,81097.61,79668.79,73727.93,79694.29,61722.11,75164.362,16646,(58518.36),0,Overspender,1
100,37344.55,38693.01,41078.43,49455.12,38733.82,39027.38,42950.53,43653.34,43916.67,31895.51,40674.836,48944,8269.16 ,0,Saver,0
103,24275.51,24548.74,26249.4,29851.78,27203.71,28064.7,27108.55,23539.01,24610.77,19375.31,25482.748,34774,9291.25 ,0,Saver,0
104,38842.53,36802.95,38817.74,40252.67,37605.34,38647.54,37623.52,40217.04,39195.78,35550.12,38355.523,37384,(971.52),0,Overspender,1
106,27611.34,28741.49,30439.63,29557.54,29254.78,28557.48,28056.33,27367.99,28351.97,22918.31,28085.686,29957,1871.31 ,0,Saver,0
107,20465.41,17688.75,17607.92,17512.39,16212.86,16793.5,16576.17,17096.45,18321.51,14735.23,17301.019,26758,9456.98 ,0,Saver,0
110,36716.69,37645.36,42317.89,45217.79,36999.27,51860.09,39908.85,41547.11,40161.35,37708.73,41008.313,52186,11177.69 ,0,Saver,0
112,93716.42,94218.05,95004.5,97645.74,92977.99,99593.08,100569.44,102164.98,97729.93,89074.28,96269.441,35114,(61155.44),0,Overspender,1
113,47841.46,46533.18,47246.42,50429.99,46397.74,56044.5,49250.41,47095.95,46795.31,41052.01,47868.697,39003,(8865.70),0,Overspender,1
114,90626.77,94663.1,94543.54,94490.79,93428.56,99954.05,102057.75,95450.08,95790.73,81200.51,94220.588,34441,(59779.59),0,Overspender,1
115,69843.15,71671.88,69037.43,66181.63,76783.79,71312.12,73966.51,71172.76,68365.05,60054.05,69838.837,101018,31179.16 ,0,Saver,0
118,36959.69,30629.48,30795.94,29434.13,34397.43,31448.64,31697.27,29588.53,31527.71,25451.24,31193.006,31533,339.99 ,0,Saver,0
119,34490.84,33413.62,38151.34,37933.79,42296.59,41090.97,38990.91,42614.17,39723.43,32852.59,38155.825,56605,18449.18 ,0,Saver,0
120,40113.44,46263.47,38466.24,39604.73,38222.41,41298.91,38888.83,44202.62,39908.5,26850.9,39382.005,61008,21626.00 ,0,Saver,0
121,53483.96,51757.2,52525.6,50767.4,52727.89,54919.19,48968.03,54062.16,49379.34,42919.05,51150.982,45419,(5731.98),0,Overspender,1
122,37998.01,44844.7,40278.5,39886.8,39140.84,39856.89,36885.44,40500.83,40349.36,32856.78,39259.815,39221,(38.82),0,Overspender,1
123,30840.93,31050.5,35508.32,29216.42,29447.44,32897.42,32591.63,32189.04,31687.96,25569.52,31099.918,36315,5215.08 ,0,Saver,0
124,13529.71,19295.34,20183.11,23800.45,22445.88,22482.94,24671.06,22592.36,24726.02,19769,21349.587,34311,12961.41 ,0,Saver,0
125,18894.12,15370.42,16163.69,17917.24,19368.89,17758.18,18492.94,15889.88,16413.73,13312.7,16958.179,26535,9576.82 ,0,Saver,0
126,23890.3,24334.7,25668.39,22886.55,23131.74,22717.5,22402.95,23722.14,24028.67,19143.78,23192.672,26600,3407.33 ,0,Saver,0
127,78547.47,76649.22,73798,77483.79,79904.44,73120.32,77690.46,72176.39,79669.07,63119.37,75215.853,31553,(43662.85),0,Overspender,1
128,37582.64,29422.62,31678.01,34265.35,31337.9,30182.02,34213.1,31490.57,33166.23,30494.54,32383.298,31377,(1006.30),0,Overspender,1
132,15825.95,16650.41,16346.74,16113.74,12816.81,14270.96,14941.39,13156.75,16370.01,13234.52,14972.728,31555,16582.27 ,0,Saver,0
133,44267.55,41432.99,42400.67,46243.97,44611.96,51886.69,49242.91,44142.43,46212.15,39952.92,45039.424,62692,17652.58 ,0,Saver,0
134,3337.8,51786.23,30662.61,3699.17,46199.35,42094.56,40102.72,52287.35,53339.12,38479.39,36198.83,50174,13975.17 ,0,Saver,0
135,66707.81,68744.86,74742.39,73190.6,84741.38,79081.13,75756.89,76100.06,76511.96,63618.19,73919.527,38088,(35831.53),0,Overspender,1
137,99213.87,93912.59,91960.78,95362.19,96870.64,94473.56,96774.17,97485.77,95505.41,80667.2,94222.618,41069,(53153.62),0,Overspender,1
138,40019.46,28173.05,34040.93,29336.24,30187,33230.04,30483.84,24665.61,32185.5,25261.83,30758.35,32770,2011.65 ,0,Saver,0
140,31255.29,31230.09,28095.9,27891.46,29093.81,28170.2,26502.15,27064.47,31676.26,26168.04,28714.767,42120,13405.23 ,0,Saver,0
141,39501.83,37843.93,36084.6,38263.97,33501.33,38468.02,37277.84,43153.56,37570.78,33956.63,37562.249,23082,(14480.25),0,Overspender,1
142,86843.65,79482.61,80492.35,74370.54,84401.22,79355.6,84239.2,79719.57,78647.07,65472.73,79302.454,51788,(27514.45),0,Overspender,1
145,11635.42,12254.35,13585.56,12698.29,17706.07,15046.18,14151.09,14186.8,17247.52,12757.07,14126.835,25334,11207.17 ,0,Saver,0
146,39848.55,42739.27,42826.45,41826.27,45719.27,41851.89,47051.05,41742.7,48843.49,39639.73,43208.867,68710,25501.13 ,0,Saver,0
147,26772.4,37211.07,33884.06,35982.71,39488.37,36180.21,38217.77,35389.97,37914.84,30858.5,35189.99,56383,21193.01 ,0,Saver,0
148,40209,37486.55,42046.17,38323.4,40440.06,40835.63,41589.79,42115.8,35047.08,31842.49,38993.597,38681,(312.60),0,Overspender,1
150,74648.39,65300.84,73212.04,65307.84,69290.22,68090.15,68911.55,71542.44,71015.64,56897.58,68421.669,71490,3068.33 ,0,Saver,0
152,73850.8,85165.58,85812.27,76135.5,91165.25,82335.23,85446.22,86617.57,79012.99,74333.28,81987.469,49335,(32652.47),0,Overspender,1
153,24570.87,27769.6,22718.67,25442.84,27779.36,21494.64,27919.16,25049.57,25197.07,18107.64,24604.942,27484,2879.06 ,0,Saver,0
154,64507.5,61913.24,59436.89,60664.88,64975.72,65474.2,62449.75,67678.41,65574.47,53177.99,62585.305,37468,(25117.30),0,Overspender,1
155,17011.53,16547.16,17449.74,19048.46,19202.68,16263.83,17884.58,19353.83,20464.82,16974.69,18020.132,9678,(8342.13),0,Overspender,1
156,30144.02,29371.13,31181.05,28896.93,30122.47,30964.33,33875.7,27634.21,29803.88,23739.46,29573.318,28007,(1566.32),0,Overspender,1
157,45694.58,46618.15,45596.67,44188.51,47557.8,45345.38,48141.63,47425.12,45136.61,37085.36,45278.981,32847,(12431.98),0,Overspender,1
161,39230.5,43248.68,41971.22,39807.8,39664.85,40646.9,41114.72,39770.63,38104.82,31383.04,39494.316,23469,(16025.32),0,Overspender,1
162,50672.39,55115.11,50757.11,52100.52,51014.53,48040.17,46852.95,60915.62,61787.25,44847.61,52210.326,66111,13900.67 ,0,Saver,0
164,32696.16,30236.92,25835.61,28186.76,27430.14,29846,30749.82,28246.4,30083.73,26378.49,28969.003,37829,8860.00 ,0,Saver,0
165,124920.65,126664.34,129998.03,131418.23,134692.18,126654.94,124804.45,121295.31,122179.26,102385.31,124501.27,107683,(16818.27),0,Overspender,1
169,9812.19,10352.86,10179.33,10908.13,11176,10832.72,11403.2,9505.4,11320.03,10177.21,10566.707,30451,19884.29 ,0,Saver,0
170,38454.91,40190.56,38938.69,40890.91,39397.41,37139.37,36142.75,40082.62,41687.7,35108.54,38803.346,36983,(1820.35),0,Overspender,1
171,88269.97,85734.7,84643.93,81808.2,87487.63,92419.32,86037.27,81723.36,87091.84,73059.69,84827.591,49577,(35250.59),0,Overspender,1
172,23174.26,24217.43,25403.49,20287.36,22231.84,26482.4,23019.8,22091.82,25658.26,19972.26,23253.892,45164,21910.11 ,0,Saver,0
173,7620.84,39887.36,59320.77,63214.79,59123.08,61857.69,62878.85,61870.42,61199.12,49586.61,52655.953,30399,(22256.95),0,Overspender,1
176,63359.84,62633.18,56190.59,62739.61,66951.27,56200.76,62544.8,60919.91,61173.94,54093.67,60680.757,52172,(8508.76),0,Overspender,1
177,76534.64,73499.61,73322.52,80315.76,74832.29,75159.1,74094.09,84172.33,73422.29,60048.3,74540.093,58248,(16292.09),0,Overspender,1
178,39298.68,39005.8,34434.34,37298.34,37376.87,37122.99,32418.5,36893.99,37277.11,30905.99,36203.261,49045,12841.74 ,0,Saver,0
180,24714.02,24138.24,23144.16,25571.12,24245.03,21129.32,24150.51,20232.02,24799.95,16770.17,22889.454,26556,3666.55 ,0,Saver,0
184,27519.34,26545.05,29682.94,29384.84,29499.94,30914.79,28013.97,29264.22,24941.36,28835.17,28460.162,43529,15068.84 ,0,Saver,0
185,37984.18,34022.3,35559.13,31705.46,33973.78,36584.89,34608.88,34745.21,40680.92,29628.82,34949.357,30942,(4007.36),0,Overspender,1
190,109926.78,99572.46,102468.69,102379.9,108937.86,110131.47,110673.31,104140.11,102761.4,89164.99,104015.697,44452,(59563.70),0,Overspender,1
194,40206.29,33891.35,36007.61,35010.27,37320.07,36645.98,31111.04,33749.06,35867.12,28831.41,34864.02,30681,(4183.02),0,Overspender,1
198,31809.35,29510.4,33126.49,27983.01,29938.1,29834.07,32446.49,33049.06,31239.88,23881.89,30281.874,31497,1215.13 ,0,Saver,0
199,50014.05,38759.18,44233.46,47310.85,41834.3,43870.54,39816.71,42698.74,42889.83,36741.15,42816.881,78329,35512.12 ,0,Saver,0
200,37396.64,34184.18,36756.05,35287.87,35558.55,37633.37,35326.38,33605.2,37035.33,30524.89,35330.846,36528,1197.15 ,0,Saver,0
201,16451.14,17831.75,18760.43,18482.79,18032.63,16007.21,18990.43,14572.04,18735.41,12327.12,17019.095,35823,18803.91 ,0,Saver,0
203,27491.15,27242.72,32166.77,25916.7,27712.29,30470.61,27776.97,26357.64,29453.47,23106.11,27769.443,30305,2535.56 ,0,Saver,0
205,36510.74,31299.42,32050.54,30652.27,35868.56,31681.18,35883.1,35238.41,38908.75,27031.81,33512.478,39882,6369.52 ,0,Saver,0
206,18487.12,29282.9,31555.96,31099.88,27178.86,28206.94,30407.38,27215.1,28397.04,25004.67,27683.585,37583,9899.42 ,0,Saver,0
207,21244.18,23051.67,20951.1,21450.99,22344.13,23043.61,20764.62,20957.05,20400.87,21828.06,21603.628,28553,6949.37 ,0,Saver,0
208,120752.25,122556.34,123110.82,120908.09,119420.89,120130.72,118210.94,115843.47,131115.81,99599.01,119164.834,67747,(51417.83),0,Overspender,1
209,34084.35,31759.08,33129.02,37851.01,33685.78,35331.55,34987.57,36183.44,36115.82,28785.1,34191.272,29206,(4985.27),0,Overspender,1
211,26471.13,23352.52,20372.96,22483.28,20294.49,24741.49,20979,23345.62,23225.61,18957.94,22422.404,28983,6560.60 ,0,Saver,0
212,19330.73,17464.74,19180.64,17970.3,20906.8,21406.22,17017.96,19074.6,18768.12,15901.09,18702.12,28137,9434.88 ,0,Saver,0
213,62358.24,60380.86,63202.27,61128.25,64474.69,65682.2,62594.84,60392.28,60320.34,53780.15,61431.412,55172,(6259.41),0,Overspender,1
216,26019.96,22098.2,24364.7,25211.39,23994.98,23976.16,26736.06,26491.07,22456.9,20222.07,24157.149,33178,9020.85 ,0,Saver,0
217,33257.29,40175.47,39180.39,39922.72,39000.28,36667.92,41991.86,39566.45,39925.69,31776.72,38146.479,31031,(7115.48),0,Overspender,1
218,31607.56,29302.6,30823.75,26658.62,28313.47,29668.24,25221.73,27445.86,31619.23,27224.92,28788.598,34190,5401.40 ,0,Saver,0
219,12758.11,12921.61,15260.06,12925.82,13945.34,15396.98,12955.65,13501.14,13155.19,11821.27,13464.117,22505,9040.88 ,0,Saver,0
220,30092.15,37832.7,33507.55,38512.6,32153.39,35063.21,31401.29,36550.87,34633.83,29281.8,33902.939,61846,27943.06 ,0,Saver,0
222,57171.06,65034.36,65554.9,78390.57,56215.21,70871.62,60667.69,47803.68,68169.54,53867.76,62374.639,93417,31042.36 ,0,Saver,0
225,35405.53,43078.18,42242.64,41046.96,41219.65,46438.44,43589.27,41698.06,43163.63,36131.58,41401.394,40887,(514.39),0,Overspender,1
227,56116.63,56123.74,71785.55,71582.68,67703.03,74511.14,58179.64,69645.92,69231.61,62324.41,65720.435,82295,16574.57 ,0,Saver,0
229,41813.32,43378.17,45786.53,48721.41,49191.09,45803.63,46074.83,46649.48,50035.01,36667.97,45412.144,59248,13835.86 ,0,Saver,0
230,25886.65,25608.09,29019.65,29024.69,24662.48,26790.75,26516.45,24736.29,28339.11,18873.4,25945.756,35501,9555.24 ,0,Saver,0
231,39957.32,34448.23,34931.75,38293.45,41232.48,40070.42,35767.85,39641.3,35288.82,33704.56,37333.618,36270,(1063.62),0,Overspender,1
234,42999.16,46901.84,47423.62,46494.76,47166.44,45014.81,43063.36,47116.34,49295.13,37345.91,45282.137,37623,(7659.14),0,Overspender,1
235,41261.91,42106.7,41526.19,41129.45,36141.14,37142.71,47819.23,40714.96,40104.05,26508.35,39445.469,48676,9230.53 ,0,Saver,0
236,62597.6,56870.26,61775.96,69185.96,67107.22,71847.61,65466.73,70524.21,62440.92,51811.97,63962.844,161276,97313.16 ,0,Saver,0
240,19945.29,24005.75,22782.82,27716.99,27074.37,24139.32,22864.48,25776.05,20392.77,18259.25,23295.709,34868,11572.29 ,0,Saver,0
241,42001.4,44506.74,44404.66,42860.72,40499.53,42312.16,44679.19,39804.33,42460.55,33767.84,41729.712,30605,(11124.71),0,Overspender,1
242,39803.18,40977.12,39466.51,45668.59,42046.63,42525.96,43277.9,44942.69,42898.95,36037.29,41764.482,43560,1795.52 ,0,Saver,0
244,23480.26,21612.6,22614.29,26196.97,22153.05,21377.32,21507.74,22657.01,23624.32,17292.78,22251.634,26802,4550.37 ,0,Saver,0
246,64554.06,56347.29,63332.02,66903.59,67294.3,68752.86,60247.89,66726.03,62024.95,55139.76,63132.275,82298,19165.73 ,0,Saver,0
247,114110.49,105879.46,103842,104012.75,101810.33,107054.58,104517.54,105373.57,102175.68,83952.22,103272.862,54587,(48685.86),0,Overspender,1
248,27088.12,22953.18,26861.75,19545.37,22406.05,24278.22,24384.82,23999.33,25595.39,19415.06,23652.729,13596,(10056.73),0,Overspender,1
249,29491.72,27179.09,30837.1,27452.65,29809.9,29465.98,28899.33,29117.13,31217.62,22640.01,28611.053,29835,1223.95 ,0,Saver,0
250,48316.79,44535.28,50919.34,47963.86,48290.92,46303.58,47577.22,47636.42,43502.49,35466.65,46051.255,34671,(11380.26),0,Overspender,1
252,55955.14,58743.42,55100.08,54936.73,55210.91,53554.63,52874.18,51651.22,54660.83,47725.82,54041.296,34985,(19056.30),0,Overspender,1
254,91979.32,105568.81,103135.63,93668.48,109943,104169.98,101142.12,98087.82,109914.09,95872.11,101348.136,67589,(33759.14),0,Overspender,1
256,40889.49,42305.2,47809.76,41620.28,45637.23,47339.64,44311.34,45802.75,47805.28,33586.86,43710.783,22850,(20860.78),0,Overspender,1
257,43837.36,47198.8,42056.65,46291.28,47575.81,49681.02,45784.27,42418.88,45231.23,39715.85,44979.115,31070,(13909.12),0,Overspender,1
260,4573.21,15033.39,16724.49,17853.5,19477.19,17942.49,20064.84,15715.56,18921.58,12663.11,15896.936,29110,13213.06 ,0,Saver,0
261,62415.7,62686.43,63498.33,67580.75,68437.43,70386.57,68210.91,68401.69,68835.58,54646.82,65510.021,59093,(6417.02),0,Overspender,1
264,37053.23,39230.42,35819.64,41550.92,37580.56,38576.72,39903.9,38237.6,38633.67,31303.32,37788.998,44303,6514.00 ,0,Saver,0
265,27589.88,27652.75,32635.97,30913.76,28552.23,33582.71,26209.21,34216.76,27434.02,23291.34,29207.863,45497,16289.14 ,0,Saver,0
273,46580.02,51571.04,48077.29,43634.17,49916.53,49844.63,45011.16,48893.26,44235.42,40228.15,46799.167,37415,(9384.17),0,Overspender,1
274,47305.57,40743.49,44643.07,44359.76,44082.33,41727.24,43626.71,40168.68,46930.26,37583.43,43117.054,48810,5692.95 ,0,Saver,0
275,100742.37,103847.47,106436.41,107341.93,102750.81,102560.01,101663.03,108064.34,98527.86,90786.71,102272.094,76288,(25984.09),0,Overspender,1
277,28306.26,26576.45,28577.69,26550.74,24673.75,29398.89,27347.1,28901.87,32966.52,22243.45,27554.272,31739,4184.73 ,0,Saver,0
278,99771.99,107763.63,107011.28,97091.93,105786,104063.79,100814.53,97095.89,105580.6,96414.93,102139.457,193768,91628.54 ,0,Saver,0
280,55902.48,56653.52,53791.51,59290.8,56729.99,57494.36,61607.83,58076.22,58455.17,46611.14,56461.302,44585,(11876.30),0,Overspender,1
282,15739.43,19696.69,20188.76,22460.97,20999.03,18195.8,20807.44,18840.3,19801.3,15603.85,19233.357,25585,6351.64 ,0,Saver,0
285,160707.98,166879.32,164867.24,163041.79,161910.76,169615.69,161381.79,158197.88,171251.34,137605.2,161545.899,34496,(127049.90),0,Overspender,1
286,9097.99,20564.34,19947.45,22335.34,20124.59,18961.93,22124.31,18636.58,22570.46,19779.9,19414.289,38223,18808.71 ,0,Saver,0
287,26350.45,28140.6,25302.44,28943.2,34617.27,28563.43,27616,27433.32,29672.03,24191.14,28082.988,43181,15098.01 ,0,Saver,0
291,55267.54,59979.38,56620.54,61895.14,62404.12,64076.76,64162.93,63415.75,64298.04,51543.55,60366.375,40407,(19959.38),0,Overspender,1
293,32701.72,31594.43,34617.84,33056.25,31441.59,34989.97,31131.62,33951.87,30582.73,25658.1,31972.612,42084,10111.39 ,0,Saver,0
299,18634.92,18242.73,20761.95,17930.45,17065.03,19788.45,19646.93,15891.66,21621.91,17731.28,18731.531,28229,9497.47 ,0,Saver,0
300,43747.26,39555.02,34157.58,40019.79,36030.62,49007.87,40416.72,39899.57,40199.95,39359.22,40239.36,75711,35471.64 ,0,Saver,0
301,39627.47,35629.78,35916.66,37404.05,35557.09,36698.03,38619.45,35610.88,41828.4,31968.22,36886.003,52308,15422.00 ,0,Saver,0
303,127476.72,130570.26,138294.85,132526.11,131934.63,133851.04,130338.02,132264.83,131503.86,115820.86,130458.118,60080,(70378.12),0,Overspender,1
311,21132.39,19336.87,19104.06,21620.25,18235.03,19178.82,20502.68,19081.8,18711.34,18221.11,19512.435,29510,9997.57 ,0,Saver,0
313,10136.16,27016.86,24720.14,23164.22,26142.27,25835.43,25941.16,23694.49,27208.45,22626.32,23648.55,33548,9899.45 ,0,Saver,0
316,63812.25,65634.27,65781.31,67411.89,69465.68,64632.4,62367.44,68894.63,67105.5,57404.31,65250.968,39871,(25379.97),0,Overspender,1
319,50154.85,52719.08,49165.6,54277.84,53415.42,52297.1,51227.1,48459.71,52993.67,40645.35,50535.572,28357,(22178.57),0,Overspender,1
320,34244.78,32547.81,31216.89,33529.87,33566.57,31682.32,37367.32,31131.68,32492.69,26167.4,32394.733,35641,3246.27 ,0,Saver,0
321,28383.91,27881.65,25029.56,30904.55,23177.14,25718.41,28658.6,27642.24,25457.36,20699.81,26355.323,40177,13821.68 ,0,Saver,0
322,10903.6,9484.8,12574.04,11035.24,13182.06,14683.55,13752.58,11589.31,10996.06,12136.46,12033.77,28055,16021.23 ,0,Saver,0
